"","groupID","featureID","exonBaseMean","dispersion","stat","pvalue","padj","Naive","Diff","log2fold_Diff_Naive","countData.1_C1P_S1","countData.11_F8P_Diff_S11","countData.3_F6_S3","countData.5_F8P_S5","countData.7_C1P_Diff_S7","countData.9_F6_Diff_S9"
"H6pd:XM_006538458.4-2","H6pd","XM_006538458.4-2",2.71898940390708,0.150940172611102,14.5847577301516,0.000133993995275552,0.0261198984079056,3.43775910582076,0.0342607375100101,-13.2983696010612,2,0,3,13,0,0
"Kcnab2:NM_001252654.2-1","Kcnab2","NM_001252654.2-1",179.173492161206,0.00501108035734928,11.0369245126627,0.000893149082876843,0.0909433532079863,16.8663421642089,19.7294067806585,0.459760558738507,142,141,156,119,367,203
"Kcnab2:XM_011250198.3-1","Kcnab2","XM_011250198.3-1",571.199685081966,0.00551296519020338,13.1732094188464,0.000283979949640566,0.0438723690710315,34.9217082068705,29.9974458682607,-0.460867741740302,550,318,677,648,998,409
"Kcnab2:XM_011250197.4-1","Kcnab2","XM_011250197.4-1",547.670412717483,0.0062657583144599,13.4431033779358,0.00024590850000497,0.0397055415429494,34.4010900192553,29.2135923522387,-0.494656934279849,538,305,650,628,948,381
"Smim1:NM_001163722.1-1","Smim1","NM_001163722.1-1",243.502855227067,0.00202705512615819,11.4860954359569,0.000701187873726226,0.0785634769210621,20.8729164861937,21.9377952597643,0.146771117223388,177,224,256,222,410,229
"Smim1:NM_001163722.1-2","Smim1","NM_001163722.1-2",751.922437665076,0.00424450875272701,11.932326979224,0.000551682256165457,0.0679336074044006,35.987813415618,37.5457951503212,0.130254729528463,549,680,815,647,1227,751
"Smim1:NM_001163722.1-4","Smim1","NM_001163722.1-4",2172.53338097337,0.00772141884460525,25.5091906140726,4.40280624457012e-07,0.000320542192817128,65.7801654313884,52.7118025231081,-0.744573233478699,1831,1589,2739,3362,2536,1458
"Smim1:NM_001357248.1-3","Smim1","NM_001357248.1-3",934.413084793088,0.00186346910552864,10.9610984640086,0.000930446439239721,0.0935022197300916,40.6304855021031,40.9166748928796,0.0218711883701648,702,770,1006,917,1505,924
"Smim1:XM_006539148.5-1","Smim1","XM_006539148.5-1",243.803919474133,0.00201387797549633,11.7480551722648,0.000609068475732748,0.0721131179680011,20.8727106660181,21.9626004819292,0.150137243237628,177,224,256,222,411,230
"Smim1:XM_006539148.5-3","Smim1","XM_006539148.5-3",41.2923075028867,0.0083640364653461,15.521635832649,8.15663147783018e-05,0.0183350767341119,7.66101882219658,9.96165612653948,0.760553687859723,26,42,27,34,87,46
"Smim1:XM_017320379.3-1","Smim1","XM_017320379.3-1",243.803919474133,0.00201387797549633,11.7480551722648,0.000609068475732748,0.0721131179680011,20.8727106660181,21.9626004819292,0.15013724323763,177,224,256,222,411,230
"Ski:NM_011385.2-2","Ski","NM_011385.2-2",622.459729560398,0.00103403117388546,11.3146326908092,0.000768986714506666,0.0832157989127148,32.2145763579375,34.9269670400694,0.245950218110901,552,329,723,419,874,916
"Pusl1:XR_001784162.3-6","Pusl1","XR_001784162.3-6",608.554003483893,0.00175746673227637,21.5196194097215,3.50227159889141e-06,0.00175987577318913,35.0024838213968,31.1112633434493,-0.357979378456454,501,484,737,956,469,576
"Gm46878:XR_003955191.2-4","Gm46878","XR_003955191.2-4",19.4193126012459,0.0590004697633692,15.0396680776305,0.000105274973381392,0.0220706175017997,4.69079470400317,6.39394730063489,0.895079028863674,2,25,15,7,24,44
"Noc2l:NM_001369270.1-3","Noc2l","NM_001369270.1-3",4474.39257951446,0.000221393605016578,11.2529935151291,0.000794947074018078,0.0851208665071254,80.8230206038876,78.9260608861889,-0.0886620690134254,3217,3674,5199,5956,5501,4190
"Fam133b:NM_001042501.1-2","Fam133b","NM_001042501.1-2",712.683986300521,0.00146319521263017,15.7315602601197,7.29960256393625e-05,0.016935153513576,34.1733174753828,37.7214854687122,0.302786120669136,598,653,681,1022,787,664
"Fam133b:NM_001042501.1-8","Fam133b","NM_001042501.1-8",812.793263144848,0.00236533224345711,15.3007510260953,9.16800543780322e-05,0.0198518763544193,39.4144159036678,35.7179075795567,-0.303458588000469,917,563,956,1223,628,668
"Fam133b:NM_001042501.1-9","Fam133b","NM_001042501.1-9",1078.18731544436,0.00078300569064779,12.8066329709534,0.000345392611760913,0.049975835195355,44.2003286688084,41.7979244994321,-0.175554836325796,1105,825,1200,1679,867,921
"Akap9:XM_036164710.1-11","Akap9","XM_036164710.1-11",17.6234654916632,0.0251013328623647,12.8060226135045,0.000345505311591486,0.049975835195355,4.51678135112275,7.37955524531668,1.41887676168246,17,12,13,23,9,32
"Cldn12:NM_001193660.1-2","Cldn12","NM_001193660.1-2",59.4432034080847,0.0134153814268003,11.8871349321115,0.000565229996797355,0.0687332557093031,8.86222094240676,11.9250995224523,0.861004309085502,36,68,25,51,104,88
"Gm40262:XR_001784766.3-2","Gm40262","XR_001784766.3-2",40.7654620365611,0.049790722826212,19.278080078259,1.12996185287084e-05,0.00432148704321576,10.2690499193257,7.34687070747461,-0.969826731390586,54,39,32,69,26,28
"Dmtf1:XM_036165107.1-1","Dmtf1","XM_036165107.1-1",191.739807002826,0.012254417805935,11.5339794527271,0.00068335580178861,0.0771142592176489,16.5250813180972,21.704214687457,0.800538460264932,145,218,128,251,98,310
"Pclo:XR_003955647.2-3","Pclo","XR_003955647.2-3",153.765147989636,0.00307809038740392,13.9859401621571,0.000184182783060542,0.0324765980016107,15.4899630549242,18.1660601302736,0.466153360523448,125,112,186,279,96,145
"Cacna2d1:XM_011249744.4-15","Cacna2d1","XM_011249744.4-15",142.747815079596,0.005527400708759,11.3286660007303,0.000763197075532323,0.0828292427064288,17.2499403785144,14.4885111780001,-0.509525258550347,218,76,149,232,111,87
"Cacna2d1:XM_011249744.4-16","Cacna2d1","XM_011249744.4-16",147.831611141128,0.00460252404626467,14.5137595463411,0.000139139544807677,0.0268356117086772,17.5398517329506,14.569480583263,-0.542078652848363,239,85,159,219,91,99
