"","baseMean","log2FoldChange","lfcSE","pvalue","padj","10_S2_Diff_S10","12_S3_Diff_S12","2_S1_S2","4_S2_S4","6_S3_S6","8_S1_Diff_S8"
"Mfsd2a",1862.44460352938,-0.695542002302788,0.148935010476462,3.98530199346267e-07,8.88074362390209e-06,1214,1988,2393,2758,2149,1682
"Ppie",7943.67667956732,0.60501495828598,0.164537939741077,5.08896988981018e-05,0.000521047898532372,7080,12692,5886,6427,4920,11851
"Pabpc4",19908.2430995317,0.325765510607107,0.1032845473903,0.00108216121449273,0.00627539781711781,17296,28642,15793,18090,14397,23859
"Gm25788",52.5039441260832,0.763098131045495,0.411441059162147,0.00490219514623141,0.0212912448262896,64,86,41,25,26,92
"Gm22154",19.3574681026885,0.990985705053111,0.571176315853406,0.00235342219907412,0.0118087844202884,24,35,17,3,5,39
"Macf1",27365.7188860961,-0.635349056902475,0.240587901983612,0.00138352958335694,0.0076647904447587,17961,30147,31220,33719,31879,15413
"D830031N03Rik",2273.0309074394,-1.01956506868305,0.235941724687714,3.67449946886763e-07,8.28500853362208e-06,1213,1969,2794,3151,2669,1210
"Rhbdl2",272.664528529966,-0.425711556759429,0.156794149319515,0.00313585033578246,0.0148734778762774,185,336,318,347,286,256
"9930104L06Rik",2617.29948710586,-0.402187969683926,0.139517945402164,0.00206333876787727,0.0105862859367796,1987,3251,3136,3230,2682,2303
"Mir692-2",861.603809047107,0.615887914545181,0.281178359285187,0.00494842377327768,0.0214609096384405,760,1194,508,571,489,1245
"Stk40",15984.4221486664,0.690949780380233,0.175932404561236,1.14390152851998e-05,0.000151909253651269,17656,29783,12833,14119,10905,26630
"Thrap3",31465.0967833528,-0.255693645096452,0.103344470173751,0.0104044510573852,0.0384577708835378,23014,39244,32976,35909,29527,30667
"Ago3",3331.74639185068,-0.731819596139654,0.287557790678233,0.00107186506706587,0.00622602177044436,2055,3002,4373,4316,3691,2081
"Ago1",5184.74273748742,-0.757411503301961,0.200958192365524,1.46765665531787e-05,0.00018822808810618,3241,5386,5939,6994,6199,3289
"Clspn",9488.67272695276,-0.520417447694294,0.163549334008748,0.000473287693017155,0.00319934546578875,6426,10611,11193,12396,10084,8311
"Sfpq",71693.991969368,-0.707239837476199,0.128739406125228,4.92197954010593e-09,1.85294414679499e-07,45723,73911,89074,93237,78799,55935
"Zmym1",3197.37170999916,-0.439800219226671,0.164833488115122,0.00339649151116291,0.0158851619686131,2332,3905,3814,3894,3374,2648
"Tlr12",1568.65677346191,-0.661261972819705,0.290666171374391,0.0031664606693639,0.0150050878589586,799,1375,1687,1871,1582,961
"A3galt2",192.439364718804,-1.08328303735779,0.366973728736411,6.85239181253948e-05,0.00066429867737929,75,195,244,258,248,71
"Trim62",3966.51597054459,-0.483470002011383,0.144626741885783,0.000321810065845964,0.00233738665421684,2902,4431,4793,5172,4215,3688
"Azin2",6740.07309977652,0.896029296789191,0.229443346653362,3.93613683279395e-06,6.30094812852193e-05,7918,13786,5242,5224,4393,13155
"Yars",49037.915126012,0.453922486222194,0.191558511758326,0.00722743230374851,0.028812172619259,44879,80483,40657,43336,34517,73191
"Zbtb8os",7256.78673438996,-0.343820530778908,0.151481502594086,0.0142175078079826,0.0490897220825985,5307,8573,8314,8474,7206,6887
"Bsdc1",13509.750636987,0.684979711992887,0.1572558025911,1.85539422469684e-06,3.3055022512887e-05,13588,21750,9810,10780,8622,20689
"Lck",4847.51220519094,0.973439213753378,0.137993383760856,4.45314626832141e-14,4.57735412257018e-12,5405,9341,3482,3544,2888,8275
"Eif3i",33489.6618908266,0.45549959516792,0.215461154478229,0.0133819341537087,0.0468378863744146,31626,53761,26085,30579,24267,52392
"Tmem234",14936.5283828342,0.418751372937828,0.162381215996624,0.00476818136905079,0.0208256603056917,13735,22990,12301,13195,10901,21245
"Pef1",6964.45565468307,0.608863870433045,0.182309701788115,0.000173322620881734,0.00142413872933741,6479,10657,4860,5431,4333,9971
"Tinagl1",1838.30440536761,0.943894278265165,0.409356125392066,0.000777911544004876,0.00479906653905215,1350,2215,328,714,597,1218
"Serinc2",2300.203794983,0.621914808937856,0.127701112695653,2.29404816235614e-07,5.52918343867193e-06,2204,3656,1607,1931,1485,3218
"LOC115489389",20.5008540213204,1.17389507411841,0.523855601992297,0.000428512746421655,0.00295477927646027,24,42,8,9,10,40
