"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Tmem14a",815.711874319219,-0.00535412651202079,0.105292009340155,0.942066262021611,0.984572183003122
"Gm32947",0.691520076619403,2.86544515316208e-05,0.150150940746576,0.994450928867583,NA
"Gm28836",0,NA,NA,NA,NA
"Gsta3",446.770091842179,0.307964056023917,0.301557324273624,0.0198543789027525,0.151363371580059
"Gm7094",25.6608887449727,-0.00960060278142232,0.144770825425361,0.809353510643684,0.94633001112237
"Gm4956",0,NA,NA,NA,NA
"Khdc1a",0,NA,NA,NA,NA
"Khdc1c",0,NA,NA,NA,NA
"Gm33147",0,NA,NA,NA,NA
"Khdc1b",0,NA,NA,NA,NA
"Kcnq5",994.572617201473,-0.149486929379186,0.140876296541149,0.0988400873551484,0.389740390172525
"LOC118567719",0,NA,NA,NA,NA
"Rims1",0,NA,NA,NA,NA
"Gm7759",0,NA,NA,NA,NA
"Ppp1r14bl",0,NA,NA,NA,NA
"Gm30442",0,NA,NA,NA,NA
"Gm29506",0,NA,NA,NA,NA
"LOC118567721",511.376937013851,0.0552755361022057,0.125162037766861,0.469124296593196,0.786646777042979
"Mir30a",0.381009474536791,-0.00372964133139322,0.150303504758962,0.603878268750411,NA
"Mir30c-2",0.268830154479417,0.00336252629338239,0.150281912950564,0.704769718695959,NA
"Ogfrl1",5683.40309683496,0.494926728824432,0.183801896155079,0.000511911831862775,0.0108331461437076
"Gm19673",0,NA,NA,NA,NA
"Gm28822",0,NA,NA,NA,NA
"B3gat2",16.2448119555101,-0.0289195541539814,0.149714726097111,0.417319671403677,0.751757605110074
"Smap1",21139.5992775921,0.0108496635454259,0.0806612975751887,0.845527549344488,0.958879222091761
"Gm53062",0.310097305927501,0.00346356668616697,0.15028708286568,0.671839194430262,NA
"Sdhaf4",2767.32528067577,0.0181937896727248,0.0872022584631326,0.79970760284475,0.943417499339814
"Fam135a",10050.9638529613,0.368220902034828,0.104189170531353,4.66504047526469e-05,0.00160010065543118
"Col9a1",0,NA,NA,NA,NA
"Col19a1",5.84200519676462,-0.00830317709486146,0.149236359052319,0.677670206962094,NA
"Gm26418",0,NA,NA,NA,NA
"Lmbrd1",8027.83744875652,-0.0137659671469141,0.0751449362008806,0.830887910571188,0.954073295571568
"Gm29414",0.659940990359332,0.00665831125475431,0.150419034017503,0.364347282532962,NA
"Adgrb3",2.00480038000654,0.00295101582731477,0.149756539546605,0.820012615050109,NA
"Gm20172",0.310097305927501,0.00346356668616697,0.15028708286568,0.671839194430262,NA
"Gm22260",0,NA,NA,NA,NA
"Gm25294",0,NA,NA,NA,NA
"Gm9884",0,NA,NA,NA,NA
"Gm39614",0,NA,NA,NA,NA
"Gm31076",0.174161455744038,0.00282859782859898,0.15026101768121,0.833186714575572,NA
"Gm31136",0,NA,NA,NA,NA
"4931408C20Rik",7.0427512220261,0.023173213359183,0.151179625373752,0.309453384334894,0.667386229007804
"Gm5524",0,NA,NA,NA,NA
"Gm597",0,NA,NA,NA,NA
"Gm45942",0,NA,NA,NA,NA
"Gm6462",0,NA,NA,NA,NA
"Mir6342",0,NA,NA,NA,NA
"Gm31465",0.792835294655286,0.00797561775567465,0.150502493636421,0.284005798093643,NA
"Gm31525",4.1950086062677,0.0154859345622553,0.150994801668162,0.216831677900708,NA
"Gm39615",0,NA,NA,NA,NA
"Gm31581",0,NA,NA,NA,NA
"Gm46086",0.314075662648233,-0.0036101509023752,0.150296443554572,0.648261368221591,NA
"LOC115487655",0,NA,NA,NA,NA
"Phf3",35818.872215929,-0.0108008202384431,0.0876642570240303,0.881127793184648,0.969854196334247
"Ptp4a1",53586.4860256017,-0.108251656803305,0.1006957659413,0.196535383766226,0.550910946019826
"LOC115487084",102.923971207659,-1.16139679859926,0.451166919071412,0.000337480732229705,0.00774572713835389
"Gm29669",0,NA,NA,NA,NA
"Gm28644",1.04644959456061,-0.0029161393760008,0.150103139967672,0.713612785341938,NA
"4931428L18Rik",0,NA,NA,NA,NA
"Lgsn",0,NA,NA,NA,NA
"Dnaaf6",0,NA,NA,NA,NA
"Gm26145",0,NA,NA,NA,NA
"Gm4850",0,NA,NA,NA,NA
"LOC115487662",0,NA,NA,NA,NA
"Gm23032",0,NA,NA,NA,NA
"Gm51754",0,NA,NA,NA,NA
"Khdrbs2",89.0576047930937,0.0717558656276382,0.153321510792125,0.272278123958633,0.635457212858214
"Gm25814",0,NA,NA,NA,NA
"Gm9839",1.31107086335488,0.00226317221213634,0.150057442686077,0.791016326915314,NA
"Gm5415",0.541869194643981,0.00115031132745178,0.150180241740074,0.821147410955483,NA
"Gm24732",0,NA,NA,NA,NA
"Gm39616",0,NA,NA,NA,NA
"Gm24901",0,NA,NA,NA,NA
"Gm39617",0.911647520418827,0.00546853220270062,0.150256409674717,0.47282871861323,NA
"Gm25792",0,NA,NA,NA,NA
"Gm23453",0.364666193012434,-0.000187459940355249,0.150175774624325,0.979987158230165,NA
"Prim2",10283.5772974177,-0.0388649637205883,0.0880773615381915,0.585123564690222,0.853657278819211
