"","groupID","featureID","exonBaseMean","dispersion","stat","pvalue","padj","WT","KO","log2fold_KO_WT","countData.1_C1P_S1","countData.2_S1_S2","countData.3_F6_S3","countData.4_S2_S4","countData.5_F8P_S5","countData.6_S3_S6"
"Csnk1d:40","Csnk1d","40",3910.30923810851,0.000221813221438917,18.6550852011632,1.56628960158648e-05,0.00690365139495194,87.7083781271959,91.1859044951411,0.123214212243751,3942,3726,4046,4074,4905,3073
"Foxk2:2","Foxk2","2",95.4187136495655,0.00323413001599943,11.4321377999464,0.000721845842832499,0.0850526282093988,13.3846725286271,15.9641259939706,0.509870614766981,107,82,96,87,131,78
"Foxk2:12","Foxk2","12",95.4187136495655,0.00323413001599943,11.4321377999464,0.000721845842832499,0.0850526282093988,13.3846725286271,15.9641259939706,0.509870614766981,107,82,96,87,131,78
"Foxk2:22","Foxk2","22",95.4187136495655,0.00323413001599943,11.4321377999464,0.000721845842832499,0.0850526282093988,13.3846725286271,15.9641259939706,0.509870614766981,107,82,96,87,131,78
"Foxk2:32","Foxk2","32",95.4187136495655,0.00323413001599943,11.4321377999464,0.000721845842832499,0.0850526282093988,13.3846725286271,15.9641259939706,0.509870614766981,107,82,96,87,131,78
"Foxk2:41","Foxk2","41",95.4187136495655,0.00323413001599943,11.4321377999464,0.000721845842832499,0.0850526282093988,13.3846725286271,15.9641259939706,0.509870614766981,107,82,96,87,131,78
"Foxk2:50","Foxk2","50",95.4187136495655,0.00323413001599943,11.4321377999464,0.000721845842832499,0.0850526282093988,13.3846725286271,15.9641259939706,0.509870614766981,107,82,96,87,131,78
"Foxk2:93","Foxk2","93",95.4187136495655,0.00323413001599943,11.4321377999464,0.000721845842832499,0.0850526282093988,13.3846725286271,15.9641259939706,0.509870614766981,107,82,96,87,131,78
"Foxk2:103","Foxk2","103",95.4187136495655,0.00323413001599943,11.4321377999464,0.000721845842832499,0.0850526282093988,13.3846725286271,15.9641259939706,0.509870614766981,107,82,96,87,131,78
"Foxk2:113","Foxk2","113",95.4187136495655,0.00323413001599943,11.4321377999464,0.000721845842832499,0.0850526282093988,13.3846725286271,15.9641259939706,0.509870614766981,107,82,96,87,131,78
